
Result Size: 818 x 568
prog.py
data.csv
 

Duration,Average_Pulse,Max_Pulse,Calorie_Burnage,Hours_Work,Hours_Sleep

60,110,130,409,0,8

60,117,145,479,0,8

60,103,135,340,8,7.5

45,109,175,282,8,8

45,117,148,406,0,6.5

60,102,127,300,0,7.5

60,110,136,374,0,7.5

45,104,134,253,0,9

30,109,133,195,8,8

60,98,124,269,7.5,8

60,103,147,329,8,7

60,100,120,250,0,5

60,106,128,345,8.5,7.5

60,104,132,379,8.5,7.5

60,98,123,275,9,7

60,98,120,215,6.5,7

60,100,120,300,9,8

45,90,112,180,8,8

60,103,123,323,8,8

45,97,125,243,8,7

60,108,131,364,8,7

45,100,119,282,0,7

60,130,101,300,8,7

45,105,132,246,0,8

60,102,126,334,8,8

60,100,120,250,8,7

60,92,118,241,7,6

60,103,132,353,9,8.5

60,100,132,280,3,8

60,102,129,380,3,8

60,92,115,243,7.5,8

60,101,124,299,8.5,7.5

60,93,113,223,8,7

60,107,136,361,2,8

60,114,140,415,9,8.5

60,100,120,300,8,7

60,100,120,300,7,6

45,104,129,266,8,7

60,98,126,286,7.5,7

60,100,122,329,8,7

60,111,138,400,8,8

